Device:            cuda
Feature count:     9
Train/val rows:    5988/1498
Time budget:       300s
step 00000 | loss: 8.210695 | val_cindex: 0.760727 | best: 0.760727 | remaining: 299.7s
step 00050 | loss: 8.096978 | val_cindex: 0.766870 | best: 0.766870 | remaining: 299.6s
step 00100 | loss: 8.013666 | val_cindex: 0.764552 | best: 0.766870 | remaining: 299.4s
step 00150 | loss: 7.966735 | val_cindex: 0.772293 | best: 0.772293 | remaining: 299.2s
step 00200 | loss: 7.938024 | val_cindex: 0.775940 | best: 0.775940 | remaining: 299.0s
step 00250 | loss: 7.932381 | val_cindex: 0.777099 | best: 0.777099 | remaining: 298.8s
step 00300 | loss: 7.919819 | val_cindex: 0.778343 | best: 0.778343 | remaining: 298.6s
step 00350 | loss: 7.918034 | val_cindex: 0.778515 | best: 0.778515 | remaining: 298.4s
step 00400 | loss: 7.919072 | val_cindex: 0.778553 | best: 0.778515 | remaining: 298.2s
step 00450 | loss: 7.917095 | val_cindex: 0.778384 | best: 0.778515 | remaining: 298.0s
step 00500 | loss: 7.900542 | val_cindex: 0.778485 | best: 0.778515 | remaining: 297.8s
step 00550 | loss: 7.905957 | val_cindex: 0.777742 | best: 0.778515 | remaining: 297.6s
step 00600 | loss: 7.911263 | val_cindex: 0.777707 | best: 0.778515 | remaining: 297.4s
step 00650 | loss: 7.911537 | val_cindex: 0.777392 | best: 0.778515 | remaining: 297.2s
step 00700 | loss: 7.902757 | val_cindex: 0.777902 | best: 0.778515 | remaining: 297.1s
step 00750 | loss: 7.896171 | val_cindex: 0.777272 | best: 0.778515 | remaining: 296.8s
step 00800 | loss: 7.899426 | val_cindex: 0.778037 | best: 0.778515 | remaining: 296.7s
step 00850 | loss: 7.900515 | val_cindex: 0.777519 | best: 0.778515 | remaining: 296.5s
step 00900 | loss: 7.899450 | val_cindex: 0.777541 | best: 0.778515 | remaining: 296.3s
step 00950 | loss: 7.895124 | val_cindex: 0.777807 | best: 0.778515 | remaining: 296.1s
step 01000 | loss: 7.900912 | val_cindex: 0.777815 | best: 0.778515 | remaining: 296.0s
step 01050 | loss: 7.892467 | val_cindex: 0.777728 | best: 0.778515 | remaining: 295.8s
step 01100 | loss: 7.901346 | val_cindex: 0.777023 | best: 0.778515 | remaining: 295.6s
step 01150 | loss: 7.894964 | val_cindex: 0.777614 | best: 0.778515 | remaining: 295.4s
step 01200 | loss: 7.896819 | val_cindex: 0.776814 | best: 0.778515 | remaining: 295.3s
step 01250 | loss: 7.890453 | val_cindex: 0.777562 | best: 0.778515 | remaining: 295.1s
step 01300 | loss: 7.890685 | val_cindex: 0.777167 | best: 0.778515 | remaining: 294.9s
step 01350 | loss: 7.883371 | val_cindex: 0.777979 | best: 0.778515 | remaining: 294.7s
step 01400 | loss: 7.884860 | val_cindex: 0.777339 | best: 0.778515 | remaining: 294.5s
step 01450 | loss: 7.880969 | val_cindex: 0.776863 | best: 0.778515 | remaining: 294.3s
step 01500 | loss: 7.883939 | val_cindex: 0.777628 | best: 0.778515 | remaining: 294.2s
step 01550 | loss: 7.886128 | val_cindex: 0.777689 | best: 0.778515 | remaining: 294.0s
step 01600 | loss: 7.884812 | val_cindex: 0.777894 | best: 0.778515 | remaining: 293.8s
step 01650 | loss: 7.872639 | val_cindex: 0.777045 | best: 0.778515 | remaining: 293.6s
step 01700 | loss: 7.874187 | val_cindex: 0.776754 | best: 0.778515 | remaining: 293.5s
step 01750 | loss: 7.870913 | val_cindex: 0.776420 | best: 0.778515 | remaining: 293.3s
step 01800 | loss: 7.872639 | val_cindex: 0.776414 | best: 0.778515 | remaining: 293.1s
