Device:            cuda
Feature count:     9
Train/val rows:    5988/1498
Time budget:       300s
step 00000 | loss: 8.210695 | val_cindex: 0.760727 | best: 0.760727 | remaining: 299.7s
step 00050 | loss: 8.099180 | val_cindex: 0.767036 | best: 0.767036 | remaining: 299.5s
step 00100 | loss: 8.016068 | val_cindex: 0.764526 | best: 0.767036 | remaining: 299.3s
step 00150 | loss: 7.969353 | val_cindex: 0.771762 | best: 0.771762 | remaining: 299.1s
step 00200 | loss: 7.939678 | val_cindex: 0.775807 | best: 0.775807 | remaining: 299.0s
step 00250 | loss: 7.933445 | val_cindex: 0.777003 | best: 0.777003 | remaining: 298.8s
step 00300 | loss: 7.920671 | val_cindex: 0.778266 | best: 0.778266 | remaining: 298.6s
step 00350 | loss: 7.918591 | val_cindex: 0.778555 | best: 0.778555 | remaining: 298.4s
step 00400 | loss: 7.919669 | val_cindex: 0.778556 | best: 0.778555 | remaining: 298.3s
step 00450 | loss: 7.917728 | val_cindex: 0.778443 | best: 0.778555 | remaining: 298.1s
step 00500 | loss: 7.901352 | val_cindex: 0.778463 | best: 0.778555 | remaining: 297.9s
step 00550 | loss: 7.906533 | val_cindex: 0.777730 | best: 0.778555 | remaining: 297.8s
step 00600 | loss: 7.911984 | val_cindex: 0.777614 | best: 0.778555 | remaining: 297.5s
step 00650 | loss: 7.912060 | val_cindex: 0.777347 | best: 0.778555 | remaining: 297.4s
step 00700 | loss: 7.903383 | val_cindex: 0.777841 | best: 0.778555 | remaining: 297.2s
step 00750 | loss: 7.896732 | val_cindex: 0.777216 | best: 0.778555 | remaining: 297.0s
step 00800 | loss: 7.900035 | val_cindex: 0.778098 | best: 0.778555 | remaining: 296.8s
step 00850 | loss: 7.901096 | val_cindex: 0.777535 | best: 0.778555 | remaining: 296.6s
step 00900 | loss: 7.900259 | val_cindex: 0.777428 | best: 0.778555 | remaining: 296.5s
step 00950 | loss: 7.896028 | val_cindex: 0.777718 | best: 0.778555 | remaining: 296.3s
step 01000 | loss: 7.901760 | val_cindex: 0.777792 | best: 0.778555 | remaining: 296.1s
step 01050 | loss: 7.893567 | val_cindex: 0.777748 | best: 0.778555 | remaining: 295.9s
step 01100 | loss: 7.902225 | val_cindex: 0.777240 | best: 0.778555 | remaining: 295.7s
step 01150 | loss: 7.896398 | val_cindex: 0.777792 | best: 0.778555 | remaining: 295.5s
step 01200 | loss: 7.898500 | val_cindex: 0.777199 | best: 0.778555 | remaining: 295.3s
step 01250 | loss: 7.890691 | val_cindex: 0.777985 | best: 0.778555 | remaining: 295.1s
step 01300 | loss: 7.890624 | val_cindex: 0.777867 | best: 0.778555 | remaining: 295.0s
step 01350 | loss: 7.884090 | val_cindex: 0.778088 | best: 0.778555 | remaining: 294.8s
step 01400 | loss: 7.885824 | val_cindex: 0.777116 | best: 0.778555 | remaining: 294.6s
step 01450 | loss: 7.880317 | val_cindex: 0.776596 | best: 0.778555 | remaining: 294.5s
step 01500 | loss: 7.885500 | val_cindex: 0.777209 | best: 0.778555 | remaining: 294.3s
step 01550 | loss: 7.887391 | val_cindex: 0.777007 | best: 0.778555 | remaining: 294.1s
step 01600 | loss: 7.886641 | val_cindex: 0.777027 | best: 0.778555 | remaining: 293.9s
step 01650 | loss: 7.875016 | val_cindex: 0.776276 | best: 0.778555 | remaining: 293.7s
step 01700 | loss: 7.876623 | val_cindex: 0.775904 | best: 0.778555 | remaining: 293.5s
step 01750 | loss: 7.873472 | val_cindex: 0.775614 | best: 0.778555 | remaining: 293.3s
step 01800 | loss: 7.875211 | val_cindex: 0.776023 | best: 0.778555 | remaining: 293.2s
step 01850 | loss: 7.880108 | val_cindex: 0.775689 | best: 0.778555 | remaining: 293.0s
