Device:            cuda
Feature count:     10
Train/val rows:    5988/1498
Time budget:       60s
Pair count:        6
Headline delta:    0.010000
Kept val_cindex:   0.853950
Keep threshold:    0.854450
step 01280 | loss: 8.115394 | val_cindex: 0.852379 | best: 0.853978 | remaining: 27.9s
step 01300 | loss: 8.116302 | val_cindex: 0.852310 | best: 0.853978 | remaining: 27.4s
step 01320 | loss: 8.102198 | val_cindex: 0.852337 | best: 0.853978 | remaining: 26.9s
step 01340 | loss: 8.113696 | val_cindex: 0.852430 | best: 0.853978 | remaining: 26.4s
step 01360 | loss: 8.115567 | val_cindex: 0.852430 | best: 0.853978 | remaining: 25.9s
step 01380 | loss: 8.109810 | val_cindex: 0.852385 | best: 0.853978 | remaining: 25.4s
step 01400 | loss: 8.104938 | val_cindex: 0.852369 | best: 0.853978 | remaining: 24.9s
step 01420 | loss: 8.115439 | val_cindex: 0.852152 | best: 0.853978 | remaining: 24.4s
step 01440 | loss: 8.091384 | val_cindex: 0.852108 | best: 0.853978 | remaining: 23.9s
step 01460 | loss: 8.096985 | val_cindex: 0.852077 | best: 0.853978 | remaining: 23.4s
step 01480 | loss: 8.101253 | val_cindex: 0.852116 | best: 0.853978 | remaining: 22.8s
step 01500 | loss: 8.091729 | val_cindex: 0.851942 | best: 0.853978 | remaining: 22.1s
step 01520 | loss: 8.105547 | val_cindex: 0.852108 | best: 0.853978 | remaining: 21.6s
step 01540 | loss: 8.112569 | val_cindex: 0.851814 | best: 0.853978 | remaining: 21.1s
step 01560 | loss: 8.098135 | val_cindex: 0.851845 | best: 0.853978 | remaining: 20.6s
step 01580 | loss: 8.094314 | val_cindex: 0.851974 | best: 0.853978 | remaining: 20.1s
step 01600 | loss: 8.104401 | val_cindex: 0.851796 | best: 0.853978 | remaining: 19.7s
step 01620 | loss: 8.113282 | val_cindex: 0.851772 | best: 0.853978 | remaining: 19.2s
step 01640 | loss: 8.107886 | val_cindex: 0.851622 | best: 0.853978 | remaining: 18.7s
step 01660 | loss: 8.107200 | val_cindex: 0.851513 | best: 0.853978 | remaining: 18.2s
step 01680 | loss: 8.114326 | val_cindex: 0.851217 | best: 0.853978 | remaining: 17.8s
step 01700 | loss: 8.111006 | val_cindex: 0.851399 | best: 0.853978 | remaining: 17.3s
step 01720 | loss: 8.109815 | val_cindex: 0.851408 | best: 0.853978 | remaining: 16.8s
step 01740 | loss: 8.092152 | val_cindex: 0.851126 | best: 0.853978 | remaining: 16.3s
step 01760 | loss: 8.110112 | val_cindex: 0.851304 | best: 0.853978 | remaining: 15.8s
step 01780 | loss: 8.115298 | val_cindex: 0.851140 | best: 0.853978 | remaining: 15.3s
step 01800 | loss: 8.104902 | val_cindex: 0.851128 | best: 0.853978 | remaining: 14.8s
step 01820 | loss: 8.111002 | val_cindex: 0.851177 | best: 0.853978 | remaining: 14.3s
step 01840 | loss: 8.109806 | val_cindex: 0.851021 | best: 0.853978 | remaining: 13.6s
step 01860 | loss: 8.104391 | val_cindex: 0.850968 | best: 0.853978 | remaining: 13.0s
step 01880 | loss: 8.103435 | val_cindex: 0.850918 | best: 0.853978 | remaining: 12.4s
step 01900 | loss: 8.107608 | val_cindex: 0.850689 | best: 0.853978 | remaining: 12.0s
step 01920 | loss: 8.100233 | val_cindex: 0.851035 | best: 0.853978 | remaining: 11.5s
step 01940 | loss: 8.098309 | val_cindex: 0.850624 | best: 0.853978 | remaining: 11.0s
step 01960 | loss: 8.094166 | val_cindex: 0.851019 | best: 0.853978 | remaining: 10.5s
step 01980 | loss: 8.099443 | val_cindex: 0.850740 | best: 0.853978 | remaining: 10.0s
step 02000 | loss: 8.098437 | val_cindex: 0.850598 | best: 0.853978 | remaining: 9.6s
step 02020 | loss: 8.093010 | val_cindex: 0.850736 | best: 0.853978 | remaining: 9.1s
step 02040 | loss: 8.100430 | val_cindex: 0.850576 | best: 0.853978 | remaining: 8.6s
step 02060 | loss: 8.092253 | val_cindex: 0.850484 | best: 0.853978 | remaining: 8.1s
step 02080 | loss: 8.095042 | val_cindex: 0.850395 | best: 0.853978 | remaining: 7.4s
step 02100 | loss: 8.106612 | val_cindex: 0.850590 | best: 0.853978 | remaining: 6.9s
step 02120 | loss: 8.108700 | val_cindex: 0.850377 | best: 0.853978 | remaining: 6.4s
step 02140 | loss: 8.104684 | val_cindex: 0.850298 | best: 0.853978 | remaining: 5.9s
step 02160 | loss: 8.092093 | val_cindex: 0.850503 | best: 0.853978 | remaining: 5.4s
step 02180 | loss: 8.099007 | val_cindex: 0.850371 | best: 0.853978 | remaining: 4.8s
