Device:            cuda
Feature count:     10
Train/val rows:    5988/1498
Time budget:       60s
Pair count:        6
Headline delta:    0.010000
Kept val_cindex:   0.853950
Keep threshold:    0.854450
step 01280 | loss: 8.116557 | val_cindex: 0.851084 | best: 0.853703 | remaining: 36.5s
step 01300 | loss: 8.118114 | val_cindex: 0.851138 | best: 0.853703 | remaining: 36.1s
step 01320 | loss: 8.101377 | val_cindex: 0.851150 | best: 0.853703 | remaining: 35.8s
step 01340 | loss: 8.115145 | val_cindex: 0.851405 | best: 0.853703 | remaining: 35.4s
step 01360 | loss: 8.118371 | val_cindex: 0.851468 | best: 0.853703 | remaining: 35.0s
step 01380 | loss: 8.109026 | val_cindex: 0.851367 | best: 0.853703 | remaining: 34.7s
step 01400 | loss: 8.105980 | val_cindex: 0.851254 | best: 0.853703 | remaining: 34.4s
step 01420 | loss: 8.116896 | val_cindex: 0.851159 | best: 0.853703 | remaining: 34.1s
step 01440 | loss: 8.095511 | val_cindex: 0.851086 | best: 0.853703 | remaining: 33.8s
step 01460 | loss: 8.098211 | val_cindex: 0.851201 | best: 0.853703 | remaining: 33.4s
step 01480 | loss: 8.102771 | val_cindex: 0.851033 | best: 0.853703 | remaining: 33.1s
step 01500 | loss: 8.093301 | val_cindex: 0.851211 | best: 0.853703 | remaining: 32.7s
step 01520 | loss: 8.107489 | val_cindex: 0.851144 | best: 0.853703 | remaining: 32.4s
step 01540 | loss: 8.116940 | val_cindex: 0.850999 | best: 0.853703 | remaining: 32.1s
step 01560 | loss: 8.100080 | val_cindex: 0.850938 | best: 0.853703 | remaining: 31.8s
step 01580 | loss: 8.093953 | val_cindex: 0.850821 | best: 0.853703 | remaining: 31.5s
step 01600 | loss: 8.108904 | val_cindex: 0.850881 | best: 0.853703 | remaining: 31.2s
step 01620 | loss: 8.113889 | val_cindex: 0.850847 | best: 0.853703 | remaining: 30.8s
step 01640 | loss: 8.109340 | val_cindex: 0.850614 | best: 0.853703 | remaining: 30.4s
step 01660 | loss: 8.109199 | val_cindex: 0.851033 | best: 0.853703 | remaining: 30.0s
step 01680 | loss: 8.114724 | val_cindex: 0.850582 | best: 0.853703 | remaining: 29.7s
step 01700 | loss: 8.114651 | val_cindex: 0.850509 | best: 0.853703 | remaining: 29.3s
step 01720 | loss: 8.111892 | val_cindex: 0.850914 | best: 0.853703 | remaining: 29.0s
step 01740 | loss: 8.096813 | val_cindex: 0.850474 | best: 0.853703 | remaining: 28.7s
step 01760 | loss: 8.113020 | val_cindex: 0.850606 | best: 0.853703 | remaining: 28.4s
step 01780 | loss: 8.118419 | val_cindex: 0.850363 | best: 0.853703 | remaining: 28.0s
step 01800 | loss: 8.108198 | val_cindex: 0.850395 | best: 0.853703 | remaining: 27.7s
step 01820 | loss: 8.110109 | val_cindex: 0.850426 | best: 0.853703 | remaining: 27.3s
step 01840 | loss: 8.112227 | val_cindex: 0.850580 | best: 0.853703 | remaining: 27.0s
step 01860 | loss: 8.107393 | val_cindex: 0.850300 | best: 0.853703 | remaining: 26.7s
step 01880 | loss: 8.105379 | val_cindex: 0.850365 | best: 0.853703 | remaining: 26.4s
step 01900 | loss: 8.108981 | val_cindex: 0.850005 | best: 0.853703 | remaining: 26.0s
step 01920 | loss: 8.104448 | val_cindex: 0.850551 | best: 0.853703 | remaining: 25.7s
step 01940 | loss: 8.101989 | val_cindex: 0.850037 | best: 0.853703 | remaining: 25.4s
step 01960 | loss: 8.098705 | val_cindex: 0.850515 | best: 0.853703 | remaining: 25.0s
step 01980 | loss: 8.105716 | val_cindex: 0.850440 | best: 0.853703 | remaining: 24.7s
step 02000 | loss: 8.103580 | val_cindex: 0.850096 | best: 0.853703 | remaining: 24.4s
step 02020 | loss: 8.096325 | val_cindex: 0.850153 | best: 0.853703 | remaining: 24.1s
step 02040 | loss: 8.102407 | val_cindex: 0.850049 | best: 0.853703 | remaining: 23.8s
step 02060 | loss: 8.094093 | val_cindex: 0.850033 | best: 0.853703 | remaining: 23.4s
step 02080 | loss: 8.098850 | val_cindex: 0.849843 | best: 0.853703 | remaining: 23.1s
step 02100 | loss: 8.108311 | val_cindex: 0.850063 | best: 0.853703 | remaining: 22.8s
step 02120 | loss: 8.112638 | val_cindex: 0.849849 | best: 0.853703 | remaining: 22.4s
step 02140 | loss: 8.109952 | val_cindex: 0.849764 | best: 0.853703 | remaining: 22.1s
step 02160 | loss: 8.096193 | val_cindex: 0.849997 | best: 0.853703 | remaining: 21.7s
step 02180 | loss: 8.102224 | val_cindex: 0.849426 | best: 0.853703 | remaining: 21.3s
step 02200 | loss: 8.121922 | val_cindex: 0.849812 | best: 0.853703 | remaining: 20.9s
step 02220 | loss: 8.107718 | val_cindex: 0.850266 | best: 0.853703 | remaining: 20.6s
step 02240 | loss: 8.106835 | val_cindex: 0.849782 | best: 0.853703 | remaining: 20.2s
step 02260 | loss: 8.095007 | val_cindex: 0.850072 | best: 0.853703 | remaining: 19.9s
step 02280 | loss: 8.094969 | val_cindex: 0.849855 | best: 0.853703 | remaining: 19.6s
step 02300 | loss: 8.102162 | val_cindex: 0.849991 | best: 0.853703 | remaining: 19.3s
step 02320 | loss: 8.087457 | val_cindex: 0.849853 | best: 0.853703 | remaining: 18.9s
step 02340 | loss: 8.096039 | val_cindex: 0.849727 | best: 0.853703 | remaining: 18.6s
step 02360 | loss: 8.088026 | val_cindex: 0.849750 | best: 0.853703 | remaining: 18.2s
step 02380 | loss: 8.097166 | val_cindex: 0.849094 | best: 0.853703 | remaining: 17.7s
step 02400 | loss: 8.102665 | val_cindex: 0.849788 | best: 0.853703 | remaining: 17.4s
step 02420 | loss: 8.086755 | val_cindex: 0.849675 | best: 0.853703 | remaining: 17.1s
step 02440 | loss: 8.093190 | val_cindex: 0.849715 | best: 0.853703 | remaining: 16.8s
step 02460 | loss: 8.094198 | val_cindex: 0.849309 | best: 0.853703 | remaining: 16.4s
step 02480 | loss: 8.096009 | val_cindex: 0.849752 | best: 0.853703 | remaining: 16.0s
step 02500 | loss: 8.096132 | val_cindex: 0.849758 | best: 0.853703 | remaining: 15.7s
step 02520 | loss: 8.109251 | val_cindex: 0.849470 | best: 0.853703 | remaining: 15.3s
step 02540 | loss: 8.090574 | val_cindex: 0.849814 | best: 0.853703 | remaining: 15.0s
step 02560 | loss: 8.103819 | val_cindex: 0.849565 | best: 0.853703 | remaining: 14.7s
step 02580 | loss: 8.094226 | val_cindex: 0.849602 | best: 0.853703 | remaining: 14.4s
step 02600 | loss: 8.092317 | val_cindex: 0.849630 | best: 0.853703 | remaining: 14.1s
step 02620 | loss: 8.104023 | val_cindex: 0.849916 | best: 0.853703 | remaining: 13.7s
step 02640 | loss: 8.103031 | val_cindex: 0.849476 | best: 0.853703 | remaining: 13.4s
